gene	occurances	unique alleles
metK	1269	55
bmr3	1175	80
leuS	1282	113
licR	375	76
licA_1	1274	60
licC_1	1284	179
yvdM	243	17
lacR_1	697	79
lacG_1	1169	139
lacF_1	1286	166
lacE_1	1129	154
guaA	1012	78
coaA	1284	51
rsmC	1272	45
degA_1	1276	86
pdp	1282	90
deoC	1277	53
cdd	1282	26
tmpC	1129	59
mglA	1284	69
deoB	1275	59
punA	1284	44
deoD	1278	41
gpmA_1	1286	100
hin	492	25
rpiA	1284	51
rpsL	1280	13
rpsG	1284	14
fus	1285	61
tuf_1	1286	84
rpsJ	1284	12
rplC	1285	23
rplD	1284	21
rplW	1284	16
rplB	1285	30
rpsS	1285	7
rplV	1284	3
rpsC	1284	20
rplP	1285	11
rpmC	1284	6
rpsQ	1284	5
rplN	1284	4
rplX	1284	6
rplE	1285	15
rpsZ	1286	3
rpsH	1284	12
rplF	1284	20
rplR	1284	10
rpsE	1283	15
rpmD	1284	3
rplO	1283	17
secY	1284	60
adk	1269	23
infA	1285	3
rpmJ	1284	2
rpsM	1284	9
rpsK	1285	5
rpoA	1285	34
rplQ	1285	20
ecfA1	1285	55
ecfA2	1271	67
ecfT_1	278	32
truA_1	1195	92
rpmB	1279	4
recG	1282	107
plsX	1283	49
acpP	1276	14
oppD_1	1285	107
oppF_1	1284	100
gsiC	1150	34
rnc	1284	37
smc_1	1252	216
yidA_1	1286	114
ftsY	1281	55
gshAB	1279	117
yueI	1279	45
yclN	1281	75
yclO	1281	98
yclP	1283	52
yclQ	1277	80
gla	1265	39
cidA	1249	35
yohK	1277	55
queT_1	1277	81
bioY2	1285	54
rpsD	1284	28
nirC	1284	108
ymdB	1284	45
ymcA	936	16
mutS_1	1285	159
mutL	1281	135
maf	1277	42
treR	1271	57
msrB	1285	33
ruvA	1285	52
ruvB	1284	48
yfkJ	1284	69
brnQ_1	1279	186
cycA_1	1101	106
artM_1	1285	69
mltF_1	1280	123
cobB	1285	60
dapH_1	1284	102
nadR	1272	46
def	386	22
rpsO	1285	12
pnp_1	1285	106
kup	1285	108
dinF	1280	83
ctc	1284	49
rsuA	1283	55
yfnB_1	1273	82
udk	1283	32
ubiB	1283	130
ddl	1285	68
murF	1095	50
cshA	1284	83
acpS	1284	22
alr	1283	69
ndoA	1284	14
rpsN2	736	31
kimA	1277	76
opuCD	1283	48
opuCC	1281	73
opuCB	1284	62
opuCA	1074	73
queA	1284	66
tgt	1284	84
adhE	1276	124
yesR	1269	74
dctM	1193	118
iolE	1023	79
rhaS_1	1277	150
araC_1	380	25
rhaB	1145	114
rhaA	1150	88
rhaD	1143	68
rhaM	1145	50
fucO	945	96
iclR	1136	56
kdgA	861	63
kdgK	984	78
kduI1	1263	61
kduD	1280	60
fni	1258	69
galK_1	1285	85
infC	1285	14
rpmI	1285	10
rplT	1285	22
rspR_1	1212	93
nnrD	1282	84
pepV_1	407	89
pepA	1285	75
ytpP	1283	35
htrA	1284	78
rlmH	1248	107
panE_1	926	68
msrA_1	1284	113
artM_2	1285	71
mltF_2	1280	129
uvrB	1148	122
uvrA_1	581	170
yvcJ	1284	72
whiA	1285	58
uvrA_2	581	167
cdaA	1285	78
glmM	1257	88
glmS_1	392	86
sppA	897	75
tig	1284	69
clpX	1285	77
engB	1285	49
glcR	1133	96
lacC_1	1018	131
fruA_1	1286	227
clcA	1279	139
pcrA	1270	129
ligA	746	125
gatC_1	1226	68
gatA	1081	89
gatB	1160	85
dagK_1	1255	148
metE_1	348	82
aes_1	1207	163
melR_1	1266	137
melA_1	384	72
lacL	1264	140
lacM	1284	95
aroF	1285	91
aroB	1284	99
aroC	1285	97
aroA	1285	111
aroK	1052	35
pheA	1282	89
rhaR_1	1241	206
lacE_2	1129	155
lacF_2	1286	166
lacG_2	1169	149
umpB_1	1136	112
umpB_2	1136	105
gpmA_2	1286	108
gph	976	51
tcyP	1279	112
apaH	36	1
yhgF	1282	153
ydcF	1285	81
murC	1284	80
ybhL	1284	63
polA	1285	154
mutM	1284	82
coaE	1284	66
nrdR	1275	56
dnaB	1285	101
dnaI	1283	60
trmK	1284	50
pepT	1284	76
dagK_2	1255	164
clpB	1283	146
eis_1	1278	121
lepA	1259	162
cspLA_1	1282	33
hchA_1	614	70
prsA_1	1274	144
spxA_1	1280	104
aes_2	1207	147
csp_1	168	5
yidA_2	1286	109
gspA_1	1256	102
gspA_2	1256	85
yghA	1256	69
agrA_1	791	97
agrB_1	392	55
amt	1226	115
gadC_1	1279	174
glsA	1240	95
dxs	1225	138
nanE	712	67
ftsW_1	1211	141
msrR_1	40	4
msrR_2	40	4
pbp	1278	206
napA	1275	76
ykuT	1278	68
ilvE	1277	67
fabI	1276	50
fabZ_1	1278	50
menH_1	1284	150
gap_1	1285	67
obg	1284	82
rnz	1284	58
apt	1243	39
lexA_1	573	54
tkt	1281	112
cysK	1282	80
perR	1278	35
nox_1	1268	162
tetA	1266	135
dnaD	1285	60
nth	1282	60
ponA_1	1172	224
recU	1283	55
gpsB	1285	32
rlmL	1284	85
ypwA	1283	106
yedJ	1284	73
steT_1	1286	151
pepV_2	407	86
abgT_1	204	21
abgT_2	204	24
cshB	1269	88
alaS	1283	126
panT_1	1279	73
fieF	1253	104
rnhA	1263	46
csp_2	168	4
fhs1	1284	126
lspA	1284	41
rluD_1	1280	76
pyrR	1283	32
pyrP	1284	86
pyrB	1284	57
pyrC	1283	82
carA	1284	75
carB	1284	159
pyrK	1284	66
pyrDB	1281	66
pyrF	1284	67
manX_1	1286	125
sorA_1	1284	103
manZ_1	1286	139
frlB_1	936	85
dgaR_1	1286	263
yfbR	1282	42
cah	1284	49
hdfR_1	1246	112
rqcH	1276	131
cmpD	1285	47
aroE	1282	95
tagU_1	1286	199
topB_1	1286	233
ldh_1	1261	76
ulaA_1	1272	185
yhhX	1252	90
hrtA_1	1218	80
